thickness_mm,run,duration_s,peak_force_N,start_time_s,end_time_s
4,Run 1,0.26,5.87,0.0,0.26
4,Run 2,0.25,7.35,0.0,0.25
4,Run 3,0.26,6.33,0.0,0.26
4,Run 4,0.26,6.18,0.0,0.26
4,Run 5,0.25,6.99,0.0,0.25
16,Run 1,0.26,6.32,0.0,0.26
16,Run 2,0.26,5.98,0.0,0.26
16,Run 3,0.27,6.1,0.0,0.27
16,Run 4,0.26,6.21,0.0,0.26
16,Run 5,0.27,5.97,0.0,0.27
28,Run 1,0.27,5.8,0.0,0.27
28,Run 2,0.27,5.59,0.0,0.27
28,Run 3,0.27,5.62,0.0,0.27
28,Run 4,0.26,5.71,0.0,0.26
28,Run 5,0.27,5.44,0.0,0.27
40,Run 1,0.28,5.4,0.0,0.28
40,Run 2,0.27,5.32,0.0,0.27
40,Run 3,0.27,5.2,0.0,0.27
40,Run 4,0.28,5.2,0.0,0.28
40,Run 5,0.28,5.3,0.0,0.28
52,Run 1,0.28,4.84,0.0,0.28
52,Run 2,0.29,4.9,0.0,0.29
52,Run 3,0.27,4.43,0.0,0.27
52,Run 4,0.27,4.44,0.0,0.27
52,Run 5,0.29,4.75,0.0,0.29
64,Run 1,0.3,4.55,0.0,0.3
64,Run 2,0.27,4.15,0.0,0.27
64,Run 3,0.29,4.3,0.0,0.29
64,Run 4,0.29,4.45,0.0,0.29
64,Run 5,0.28,4.1,0.0,0.28
76,Run 1,0.31,4.05,0.0,0.31
76,Run 2,0.28,3.65,0.0,0.28
76,Run 3,0.3,3.85,0.0,0.3
76,Run 4,0.3,3.95,0.0,0.3
76,Run 5,0.29,3.6,0.0,0.29
