thickness_mm,run,duration_s,peak_force_N,method
4.0,Run 1,0.24,5.87,threshold
4.0,Run 2,0.22,7.35,threshold
4.0,Run 3,0.24,6.33,threshold
4.0,Run 4,0.24,6.18,threshold
4.0,Run 5,0.22,6.99,threshold
16.0,Run 1,0.25,5.67,threshold
16.0,Run 2,0.24,6.17,threshold
16.0,Run 3,0.25,6.01,threshold
16.0,Run 4,0.25,6.12,threshold
16.0,Run 5,0.23,5.83,threshold
28.0,Run 1,0.26,5.47,threshold
28.0,Run 2,0.26,5.78,threshold
28.0,Run 3,0.25,5.45,threshold
28.0,Run 4,0.26,5.9,threshold
28.0,Run 5,0.25,5.67,threshold
40.0,Run 1,0.25,5.31,threshold
40.0,Run 2,0.25,5.37,threshold
40.0,Run 3,0.25,5.2,threshold
40.0,Run 4,0.26,5.4,threshold
40.0,Run 5,0.26,5.38,threshold
52.0,Run 1,0.25,4.43,threshold
52.0,Run 2,0.26,4.9,threshold
52.0,Run 3,0.25,4.88,threshold
52.0,Run 4,0.26,4.69,threshold
52.0,Run 5,0.26,4.81,threshold
64.0,Run 1,0.26,4.3,threshold
64.0,Run 2,0.25,4.47,threshold
64.0,Run 3,0.27,4.44,threshold
64.0,Run 4,0.26,4.45,threshold
64.0,Run 5,0.26,4.45,threshold
76.0,Run 1,0.27,4.18,threshold
76.0,Run 2,0.26,3.9,threshold
76.0,Run 3,0.26,3.74,threshold
76.0,Run 4,0.25,3.75,threshold
76.0,Run 5,0.26,4.07,threshold
